基地地號,使用分區,謄本面積(㎡),基地面積(㎡),建蔽率(%),建築面積(㎡),空地面積(㎡),允建容積率(%),容積樓地板面積(㎡),開挖率(%),開挖面積(㎡),法定容積(㎡),都更獎勵容積(㎡),容積移轉(㎡),允建容積(㎡),建蔽率(%)_備註,建築面積(㎡)_備註,空地面積(㎡)_備註,允建容積率(%)_備註,容積樓地板面積(㎡)_備註,開挖率(%)_備註,開挖面積(㎡)_備註,法定容積(㎡)_備註,都更獎勵容積(㎡)_備註,容積移轉(㎡)_備註,允建容積(㎡)_備註
台北市大同區迪化段一小段47-1、48、49、50、51、52、53等7筆地號,第三種商業區,870㎡,870㎡,65.0,565.50,304.50,560.00,4872.00,70.0,609.00,560.0,0.0,0.0,,,,,,,,,,,,
台北市大同區迪化段一小段47-1、48、49、50、51、52、53等7筆地號,第三種商業區,870㎡,870㎡,61.70,536.82,333.18,459.77,4000.00,68.97,600.00,,,,,,,,,,,,,,,
