評估項目,是否辦理,進度狀態,列管時間,審查單位,協力單位,備註
耐震設計標章,✅ 需辦理,⚪ 未開始,使照前,,,
無障礙性能標章,✅ 需辦理,⚪ 未開始,使照後3個月,,,
結構安全性能標章,✅ 需辦理,⚪ 未開始,使照後3個月,,,
綠建築標章,✅ 需辦理,⚪ 未開始,使照後2年內,,,
智慧建築標章,➖ 不涉及,,使照後2年內,,,
1+級能效標章,➖ 不涉及,,使照後2年內,,,
